particle_count,timesteps,threads,sample,time
4000,10,8,27,0.511
4000,10,8,28,0.522
4000,10,8,29,0.519
4000,10,8,30,0.511
4000,10,12,1,0.524
4000,10,12,2,0.486
4000,10,12,3,0.478
4000,10,12,4,0.519
4000,10,12,5,0.486
4000,10,12,6,0.499
4000,10,12,7,0.525
4000,10,12,8,0.484
4000,10,12,9,0.506
4000,10,12,10,0.527
4000,10,12,11,0.479
4000,10,12,12,0.482
4000,10,12,13,0.477
4000,10,12,14,0.490
4000,10,12,15,0.472
4000,10,12,16,0.481
4000,10,12,17,0.479
4000,10,12,18,0.478
4000,10,12,19,0.502
4000,10,12,20,0.490
4000,10,12,21,0.488
4000,10,12,22,0.494
4000,10,12,23,0.474
4000,10,12,24,0.490
4000,10,12,25,0.484
4000,10,12,26,0.539
4000,10,12,27,0.471
4000,10,12,28,0.475
4000,10,12,29,0.515
4000,10,12,30,0.477
5000,10,1,1,1.457
5000,10,1,2,1.431
5000,10,1,3,1.411
5000,10,1,4,1.430
5000,10,1,5,1.468
5000,10,1,6,1.430
5000,10,1,7,1.430
5000,10,1,8,1.447
5000,10,1,9,1.471
5000,10,1,10,1.447
5000,10,1,11,1.413
5000,10,1,12,1.431
5000,10,1,13,1.470
5000,10,1,14,1.429
5000,10,1,15,1.427
5000,10,1,16,1.447
5000,10,1,17,1.429
5000,10,1,18,1.424
5000,10,1,19,1.471
5000,10,1,20,1.406
5000,10,1,21,1.431
5000,10,1,22,1.405
5000,10,1,23,1.433
5000,10,1,24,1.451
5000,10,1,25,1.453
5000,10,1,26,1.468
5000,10,1,27,1.424
5000,10,1,28,1.457
5000,10,1,29,1.453
5000,10,1,30,1.466
5000,10,2,1,0.905
5000,10,2,2,0.887
5000,10,2,3,0.907
5000,10,2,4,0.907
5000,10,2,5,0.887
5000,10,2,6,0.912
5000,10,2,7,0.911
5000,10,2,8,0.887
5000,10,2,9,0.906
5000,10,2,10,0.848
5000,10,2,11,0.885
5000,10,2,12,0.889
5000,10,2,13,0.914
5000,10,2,14,0.900
5000,10,2,15,0.897
5000,10,2,16,0.888
5000,10,2,17,0.888
5000,10,2,18,0.923
5000,10,2,19,0.882
5000,10,2,20,0.849
5000,10,2,21,0.894
5000,10,2,22,0.894
5000,10,2,23,0.907
5000,10,2,24,0.897
5000,10,2,25,0.903
5000,10,2,26,0.846
5000,10,2,27,0.867
5000,10,2,28,0.902
5000,10,2,29,0.898
5000,10,2,30,0.902
5000,10,4,1,0.759
5000,10,4,2,0.671
5000,10,4,3,0.650
5000,10,4,4,0.646
5000,10,4,5,0.685
5000,10,4,6,0.687
5000,10,4,7,0.633
5000,10,4,8,0.626
5000,10,4,9,0.633
5000,10,4,10,0.619
5000,10,4,11,0.669
5000,10,4,12,0.642
5000,10,4,13,0.634
5000,10,4,14,0.737
5000,10,4,15,0.627
5000,10,4,16,0.896
5000,10,4,17,0.729
5000,10,4,18,0.678
5000,10,4,19,0.637
5000,10,4,20,0.642
5000,10,4,21,0.564
5000,10,4,22,0.610
5000,10,4,23,0.694
5000,10,4,24,0.615
5000,10,4,25,0.630
5000,10,4,26,0.735
5000,10,4,27,0.615
5000,10,4,28,0.706
5000,10,4,29,0.649
5000,10,4,30,0.775
5000,10,8,1,0.625
5000,10,8,2,0.623
5000,10,8,3,0.627
5000,10,8,4,0.617
5000,10,8,5,0.623
5000,10,8,6,0.626
5000,10,8,7,0.626
5000,10,8,8,0.629
5000,10,8,9,0.617
5000,10,8,10,0.617
5000,10,8,11,0.622
5000,10,8,12,0.630
5000,10,8,13,0.628
5000,10,8,14,0.620
5000,10,8,15,0.636
5000,10,8,16,0.628
5000,10,8,17,0.642
5000,10,8,18,0.623
5000,10,8,19,0.633
5000,10,8,20,0.624
5000,10,8,21,0.627
5000,10,8,22,0.627
5000,10,8,23,0.622
5000,10,8,24,0.627
5000,10,8,25,0.621
5000,10,8,26,0.626
5000,10,8,27,0.618
5000,10,8,28,0.630
5000,10,8,29,0.626
5000,10,8,30,0.630
5000,10,12,1,0.544
5000,10,12,2,0.598
5000,10,12,3,0.563
5000,10,12,4,0.562
5000,10,12,5,0.553
5000,10,12,6,0.548
5000,10,12,7,0.590
5000,10,12,8,0.555
5000,10,12,9,0.550
5000,10,12,10,0.564
5000,10,12,11,0.556
5000,10,12,12,0.586
5000,10,12,13,0.547
5000,10,12,14,0.553
5000,10,12,15,0.572
5000,10,12,16,0.554
5000,10,12,17,0.547
5000,10,12,18,0.589
5000,10,12,19,0.554
5000,10,12,20,0.556
5000,10,12,21,0.550
5000,10,12,22,0.562
5000,10,12,23,0.555
5000,10,12,24,0.557
5000,10,12,25,0.551
5000,10,12,26,0.627
5000,10,12,27,0.553
5000,10,12,28,0.545
5000,10,12,29,0.583
5000,10,12,30,0.547
8000,10,1,1,3.199
8000,10,1,2,3.226
8000,10,1,3,3.223
8000,10,1,4,3.235
8000,10,1,5,3.217
8000,10,1,6,3.236
8000,10,1,7,3.231
8000,10,1,8,3.248
8000,10,1,9,3.296
8000,10,1,10,3.201
8000,10,1,11,3.228
8000,10,1,12,3.296
8000,10,1,13,3.233
8000,10,1,14,3.236
8000,10,1,15,3.218
8000,10,1,16,3.209
8000,10,1,17,3.252
8000,10,1,18,3.211
8000,10,1,19,3.191
8000,10,1,20,3.193
8000,10,1,21,3.231
8000,10,1,22,3.226
8000,10,1,23,3.251
8000,10,1,24,3.214
8000,10,1,25,3.214
8000,10,1,26,3.216
8000,10,1,27,3.198
8000,10,1,28,3.269
8000,10,1,29,3.229
8000,10,1,30,3.195
8000,10,2,1,1.834
8000,10,2,2,1.837
8000,10,2,3,1.803
8000,10,2,4,1.755
8000,10,2,5,1.803
8000,10,2,6,1.784
8000,10,2,7,1.774
8000,10,2,8,1.818
8000,10,2,9,1.814
8000,10,2,10,1.811
8000,10,2,11,1.818
8000,10,2,12,1.775
8000,10,2,13,1.817
8000,10,2,14,1.838
8000,10,2,15,1.814
8000,10,2,16,1.772
8000,10,2,17,1.836
8000,10,2,18,1.802
8000,10,2,19,1.823
8000,10,2,20,1.814
8000,10,2,21,1.800
8000,10,2,22,1.820
8000,10,2,23,1.855
8000,10,2,24,1.831
8000,10,2,25,1.834
8000,10,2,26,1.806
8000,10,2,27,1.837
8000,10,2,28,1.769
8000,10,2,29,1.832
8000,10,2,30,1.798
8000,10,4,1,1.157
8000,10,4,2,1.127
8000,10,4,3,1.158
8000,10,4,4,1.087
8000,10,4,5,1.077
8000,10,4,6,1.158
8000,10,4,7,1.118
8000,10,4,8,1.106
8000,10,4,9,1.210
8000,10,4,10,1.203
8000,10,4,11,1.052
8000,10,4,12,1.105
8000,10,4,13,1.091
8000,10,4,14,1.081
8000,10,4,15,1.098
8000,10,4,16,1.100
8000,10,4,17,1.109
8000,10,4,18,1.106
8000,10,4,19,1.120
8000,10,4,20,1.261
8000,10,4,21,1.149
8000,10,4,22,1.089
8000,10,4,23,1.140
8000,10,4,24,1.106
8000,10,4,25,1.232
8000,10,4,26,1.093
8000,10,4,27,1.104
8000,10,4,28,1.079
8000,10,4,29,1.094
8000,10,4,30,1.093
8000,10,8,1,1.096
8000,10,8,2,1.089
8000,10,8,3,1.093
8000,10,8,4,1.105
8000,10,8,5,1.100
8000,10,8,6,1.103
8000,10,8,7,1.098
8000,10,8,8,1.095
8000,10,8,9,1.093
8000,10,8,10,1.104
8000,10,8,11,1.093
8000,10,8,12,1.105
8000,10,8,13,1.097
8000,10,8,14,1.090
8000,10,8,15,1.105
8000,10,8,16,1.123
8000,10,8,17,1.114
8000,10,8,18,1.102
8000,10,8,19,1.103
8000,10,8,20,1.100
8000,10,8,21,1.105
8000,10,8,22,1.112
8000,10,8,23,1.103
8000,10,8,24,1.094
8000,10,8,25,1.099
8000,10,8,26,1.095
8000,10,8,27,1.107
8000,10,8,28,1.089
8000,10,8,29,1.094
8000,10,8,30,1.128
8000,10,12,1,0.917
8000,10,12,2,0.939
